Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-03-02,MARUTI,EQ,7015.0,7060.0,7235.0,7030.0,7223.0,7214.1,7138.08,1395296,995973163385000.0,115867,644925,0.4622
2021-03-03,MARUTI,EQ,7214.1,7245.6,7262.3,7101.2,7129.25,7124.7,7132.69,796258,567945877170000.0,88189,291539,0.3661
2021-03-04,MARUTI,EQ,7124.7,7080.0,7175.2,7011.0,7123.0,7131.6,7108.26,906310,644228887390000.0,98839,278461,0.3072
2021-03-05,MARUTI,EQ,7131.6,7130.0,7315.0,7070.0,7251.0,7249.0,7236.86,1821165,1317950756865000.0,136188,802724,0.44079999999999997
2021-03-08,MARUTI,EQ,7249.0,7264.9,7338.8,7216.0,7248.1,7259.5,7277.95,977572,711472204630000.0,95403,372383,0.3809
2021-03-09,MARUTI,EQ,7259.5,7329.4,7329.4,7256.0,7300.0,7301.55,7291.37,678485,494708843564999.94,69419,328281,0.48380000000000006
2021-03-10,MARUTI,EQ,7301.55,7320.0,7387.0,7251.0,7260.65,7272.1,7318.8,659270,482506245389999.94,99069,234347,0.3555
2021-03-12,MARUTI,EQ,7272.1,7300.0,7313.0,7061.4,7100.75,7096.2,7151.12,946720,677011049120000.0,114353,341569,0.3608
2021-03-15,MARUTI,EQ,7096.2,7145.0,7162.95,7011.0,7076.0,7089.3,7071.09,700309,495194714639999.94,87619,223307,0.3189
2021-03-16,MARUTI,EQ,7089.3,7100.0,7200.0,7100.0,7155.0,7150.3,7156.16,796357,569885949245000.0,89199,333378,0.4186
2021-03-17,MARUTI,EQ,7150.3,7160.0,7169.95,7043.5,7075.0,7064.65,7098.99,688581,488822821620000.0,66862,357004,0.5185000000000001
2021-03-18,MARUTI,EQ,7064.65,7125.0,7242.0,7060.0,7108.0,7113.75,7159.91,984545,704925672840000.0,111880,327984,0.3331
2021-03-19,MARUTI,EQ,7113.75,7059.95,7149.95,6905.5,7114.9,7113.55,7022.41,838756,589008995125000.0,103254,220746,0.2632
2021-03-22,MARUTI,EQ,7113.55,7104.0,7142.5,7050.2,7106.0,7101.25,7088.01,533767,378334755115000.0,72385,174907,0.32770000000000005
2021-03-23,MARUTI,EQ,7101.25,7138.0,7225.0,7130.0,7172.0,7186.25,7189.58,757590,544675222335000.06,85127,253656,0.3348
2021-03-24,MARUTI,EQ,7186.25,7136.0,7158.4,7049.95,7060.0,7066.2,7093.04,457147,324256277415000.0,63062,137921,0.3017
